2014,3098,2401,3859,11826,9944,14074,9908,8528,11243,NA,GloucesterCounty,combined,combined
2015,2651,1964,3640,10251,8254,12404,9745,8033,11589,NA,GloucesterCounty,combined,combined
2016,2400,1816,3076,9760,7927,11945,8468,6967,10243,NA,GloucesterCounty,combined,combined
2017,2553,1870,3461,10526,8552,12804,9061,7674,10710,NA,GloucesterCounty,combined,combined
2018,2829,1977,3878,11877,9242,14982,9265,7278,11305,NA,GloucesterCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,GloucesterCounty,combined,combined
2020,2425,1646,3439,8843,6439,11346,8782,6911,11145,NA,GloucesterCounty,combined,combined
2021,2912,2236,3717,11226,8818,13951,10131,8230,12257,NA,GloucesterCounty,combined,combined
2004,6754,5260,8521,13246,10690,15908,9860,7857,12084,NA,HudsonCounty,combined,combined
2005,7185,5584,9298,16017,12990,19303,11049,8852,13483,NA,HudsonCounty,combined,combined
2006,7738,6574,9135,15430,13385,17811,11040,9597,12646,NA,HudsonCounty,combined,combined
2007,8135,6792,9514,16711,14320,19178,11741,10071,13347,NA,HudsonCounty,combined,combined
2008,8216,7211,9411,16976,15064,19079,11781,10540,13216,NA,HudsonCounty,combined,combined
2009,8853,7440,10294,16311,13933,18691,11604,10051,13194,NA,HudsonCounty,combined,combined
2010,8237,6421,10223,17078,14222,19930,11975,10154,13944,NA,HudsonCounty,combined,combined
2011,10005,8301,11817,17827,15057,20716,12096,10326,13886,NA,HudsonCounty,combined,combined
2012,9469,8177,10780,18604,16398,20898,12782,11314,14254,NA,HudsonCounty,combined,combined
2013,7868,6186,9577,16977,14333,19982,13278,11210,15622,NA,HudsonCounty,combined,combined
2014,8328,6731,10028,18405,15846,21131,14002,12213,16026,NA,HudsonCounty,combined,combined
2015,8154,6273,10460,19080,15496,22696,14161,11976,16617,NA,HudsonCounty,combined,combined
2016,7682,5912,9636,18392,15146,22027,14585,12159,17088,NA,HudsonCounty,combined,combined
2017,7583,5673,9602,18781,15390,22686,15359,12688,18300,NA,HudsonCounty,combined,combined
2018,8225,5892,11298,19358,14405,25073,15873,12319,19878,NA,HudsonCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,HudsonCounty,combined,combined
2020,9197,6815,12207,20892,15715,26643,17575,13670,22223,NA,HudsonCounty,combined,combined
2021,9712,8106,11601,23151,19887,27272,18486,16108,21345,NA,HudsonCounty,combined,combined
2004,823,589,1093,2876,2065,3881,1832,1322,2341,NA,HunterdonCounty,combined,combined
2005,705,476,970,2478,1780,3289,1609,1159,2152,NA,HunterdonCounty,combined,combined
2006,800,626,993,3076,2443,3769,1776,1425,2157,NA,HunterdonCounty,combined,combined
2007,831,672,1018,3363,2726,4084,1907,1573,2281,NA,HunterdonCounty,combined,combined
2008,917,750,1110,3650,3004,4341,2094,1757,2466,NA,HunterdonCounty,combined,combined
2009,830,658,1023,3577,2868,4327,2147,1746,2561,NA,HunterdonCounty,combined,combined
2010,764,524,1051,3396,2620,4289,2289,1786,2834,NA,HunterdonCounty,combined,combined
2011,846,680,1022,3922,3212,4648,2421,2006,2819,NA,HunterdonCounty,combined,combined
2012,659,530,815,3492,2866,4254,2327,1933,2802,NA,HunterdonCounty,combined,combined
2013,581,414,805,3117,2346,3974,2362,1832,2970,NA,HunterdonCounty,combined,combined
2014,645,481,868,3470,2797,4279,3056,2523,3656,NA,HunterdonCounty,combined,combined
2015,625,430,852,3388,2566,4312,2843,2224,3535,NA,HunterdonCounty,combined,combined
2016,576,411,773,3362,2517,4202,3035,2402,3804,NA,HunterdonCounty,combined,combined
2017,573,402,825,3086,2412,3888,3062,2396,3779,NA,HunterdonCounty,combined,combined
2018,589,389,831,3392,2414,4544,3041,2203,3954,NA,HunterdonCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,HunterdonCounty,combined,combined
2020,567,344,867,3087,2053,4350,3136,2075,4416,NA,HunterdonCounty,combined,combined
2021,705,488,966,3691,2592,4903,3659,2646,4827,NA,HunterdonCounty,combined,combined
2004,3286,2575,4157,7905,6407,9654,6192,4982,7472,NA,MercerCounty,combined,combined
2005,3525,2525,4664,8810,6951,10786,6971,5572,8603,NA,MercerCounty,combined,combined
2006,3822,3099,4595,9850,8169,11629,7048,5865,8238,NA,MercerCounty,combined,combined
2007,4010,3263,4913,10532,8733,12640,7465,6237,8857,NA,MercerCounty,combined,combined
2008,4155,3426,4945,10877,9068,12719,7745,6553,8967,NA,MercerCounty,combined,combined
